p[gev]  muP     muM
0.599	13.4 	12.5 
0.645	13.3 	12.2 
0.694	13.2 	11.9 
0.748	12.7 	11.5 
0.806	12.6 	11.3 
0.869	12.3 	10.8 
0.934	12.1 	10.6 
1.01	11.6 	10.0 
1.08	11.0 	09.6 
1.17	10.7 	09.1 
1.26	10.2 	08.8 
1.36	9.78 	8.53
1.46	9.38 	8.01
1.57	8.72 	7.53
1.70	8.59 	7.22
1.83	7.85 	6.72
1.97	7.41 	6.28
2.12	7.03 	5.71
2.28	6.38 	5.36
2.46	6.01 	4.92
2.65	5.45 	4.62
2.86	5.02 	4.09
3.08	4.62 	3.69
3.32	4.17 	3.31
3.57	3.79 	3.06
3.85	3.37 	2.70
4.14	3.02 	2.37
4.47	2.74 	2.11
4.81	2.41 	1.87
5.18	2.11 	1.66
5.58	1.87 	1.46
6.01	1.63 	1.24
6.48	1.44 	1.13
6.98	1.21 	0.96
7.52	1.06 	0.83
8.10	.911	.693
8.72	.807	.608
9.40	.706	.515
10.1	.567	.454
10.9	.490	.385
11.8	.438	.324
12.7	.358	.274
13.6	.307	.231
14.7	.249	.197
15.8	.213	.168
17.1	.176	.140
18.4	.149	.115
19.8	.122	.096
22.1	.0957 	.0736
25.6	.0669 	.0504
29.7	.0452 	.0348
34.5	.0293 	.0226
40.1	.0201 	.0155
46.5	.0131 	.0104
54.0	.00876  .00691
62.7	.00572  .00454
72.8	.00401  .00288
84.4	.00255  .00193
98.0	.00155  .00117
118.	.000943 .000695 
147.	.000426 .000365 
184.	.000251  .000147 
229.	.000118  .000075 
286.	.0000558 .0000413 
359.	.0000256 .0000245 
